ID,Pieza,X_desde_izquierda_mm,Z_desde_base_mm,Diametro_mm,Nota
SP-R1-S1-L-1,Fondo,69,238,5.5,M5 soporte carrete
SP-R1-S1-L-2,Fondo,69,274,5.5,M5 soporte carrete
SP-R1-S1-R-1,Fondo,151,238,5.5,M5 soporte carrete
SP-R1-S1-R-2,Fondo,151,274,5.5,M5 soporte carrete
SP-R1-S2-L-1,Fondo,259,238,5.5,M5 soporte carrete
SP-R1-S2-L-2,Fondo,259,274,5.5,M5 soporte carrete
SP-R1-S2-R-1,Fondo,341,238,5.5,M5 soporte carrete
SP-R1-S2-R-2,Fondo,341,274,5.5,M5 soporte carrete
SP-R1-S3-L-1,Fondo,449,238,5.5,M5 soporte carrete
SP-R1-S3-L-2,Fondo,449,274,5.5,M5 soporte carrete
SP-R1-S3-R-1,Fondo,531,238,5.5,M5 soporte carrete
SP-R1-S3-R-2,Fondo,531,274,5.5,M5 soporte carrete
SP-R1-S4-L-1,Fondo,639,238,5.5,M5 soporte carrete
SP-R1-S4-L-2,Fondo,639,274,5.5,M5 soporte carrete
SP-R1-S4-R-1,Fondo,721,238,5.5,M5 soporte carrete
SP-R1-S4-R-2,Fondo,721,274,5.5,M5 soporte carrete
SP-R2-S1-L-1,Fondo,69,443,5.5,M5 soporte carrete
SP-R2-S1-L-2,Fondo,69,479,5.5,M5 soporte carrete
SP-R2-S1-R-1,Fondo,151,443,5.5,M5 soporte carrete
SP-R2-S1-R-2,Fondo,151,479,5.5,M5 soporte carrete
SP-R2-S2-L-1,Fondo,259,443,5.5,M5 soporte carrete
SP-R2-S2-L-2,Fondo,259,479,5.5,M5 soporte carrete
SP-R2-S2-R-1,Fondo,341,443,5.5,M5 soporte carrete
SP-R2-S2-R-2,Fondo,341,479,5.5,M5 soporte carrete
SP-R2-S3-L-1,Fondo,449,443,5.5,M5 soporte carrete
SP-R2-S3-L-2,Fondo,449,479,5.5,M5 soporte carrete
SP-R2-S3-R-1,Fondo,531,443,5.5,M5 soporte carrete
SP-R2-S3-R-2,Fondo,531,479,5.5,M5 soporte carrete
SP-R2-S4-L-1,Fondo,639,443,5.5,M5 soporte carrete
SP-R2-S4-L-2,Fondo,639,479,5.5,M5 soporte carrete
SP-R2-S4-R-1,Fondo,721,443,5.5,M5 soporte carrete
SP-R2-S4-R-2,Fondo,721,479,5.5,M5 soporte carrete
SP-R3-S1-L-1,Fondo,69,648,5.5,M5 soporte carrete
SP-R3-S1-L-2,Fondo,69,684,5.5,M5 soporte carrete
SP-R3-S1-R-1,Fondo,151,648,5.5,M5 soporte carrete
SP-R3-S1-R-2,Fondo,151,684,5.5,M5 soporte carrete
SP-R3-S2-L-1,Fondo,259,648,5.5,M5 soporte carrete
SP-R3-S2-L-2,Fondo,259,684,5.5,M5 soporte carrete
SP-R3-S2-R-1,Fondo,341,648,5.5,M5 soporte carrete
SP-R3-S2-R-2,Fondo,341,684,5.5,M5 soporte carrete
SP-R3-S3-L-1,Fondo,449,648,5.5,M5 soporte carrete
SP-R3-S3-L-2,Fondo,449,684,5.5,M5 soporte carrete
SP-R3-S3-R-1,Fondo,531,648,5.5,M5 soporte carrete
SP-R3-S3-R-2,Fondo,531,684,5.5,M5 soporte carrete
SP-R3-S4-L-1,Fondo,639,648,5.5,M5 soporte carrete
SP-R3-S4-L-2,Fondo,639,684,5.5,M5 soporte carrete
SP-R3-S4-R-1,Fondo,721,648,5.5,M5 soporte carrete
SP-R3-S4-R-2,Fondo,721,684,5.5,M5 soporte carrete
SP-R4-S1-L-1,Fondo,69,853,5.5,M5 soporte carrete
SP-R4-S1-L-2,Fondo,69,889,5.5,M5 soporte carrete
SP-R4-S1-R-1,Fondo,151,853,5.5,M5 soporte carrete
SP-R4-S1-R-2,Fondo,151,889,5.5,M5 soporte carrete
SP-R4-S2-L-1,Fondo,259,853,5.5,M5 soporte carrete
SP-R4-S2-L-2,Fondo,259,889,5.5,M5 soporte carrete
SP-R4-S2-R-1,Fondo,341,853,5.5,M5 soporte carrete
SP-R4-S2-R-2,Fondo,341,889,5.5,M5 soporte carrete
SP-R4-S3-L-1,Fondo,449,853,5.5,M5 soporte carrete
SP-R4-S3-L-2,Fondo,449,889,5.5,M5 soporte carrete
SP-R4-S3-R-1,Fondo,531,853,5.5,M5 soporte carrete
SP-R4-S3-R-2,Fondo,531,889,5.5,M5 soporte carrete
SP-R4-S4-L-1,Fondo,639,853,5.5,M5 soporte carrete
SP-R4-S4-L-2,Fondo,639,889,5.5,M5 soporte carrete
SP-R4-S4-R-1,Fondo,721,853,5.5,M5 soporte carrete
SP-R4-S4-R-2,Fondo,721,889,5.5,M5 soporte carrete
FAN-01,Fondo,382,110,114,Abertura ventilador 120 mm; validar en Sprint 4
SENSOR-01,Fondo,382,570,3.5,Soporte SHT31; posición preliminar
